Noko City
noko.mrk
forest.bmp,forest.bmp
30,18,10
Village.mid
30,30
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|2,,,0,0|2,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,2|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|2,,,0,0|2,,,0,0|2,,,0,0|2,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,1|1,forest.dat:12:1,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|2,,,0,0|2,,,0,0|2,,,0,0|2,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,1|1,forest.dat:12:1,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|2,,,0,0|2,,,0,0|2,,,0,0|2,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|2,,,0,0|2,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|9,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|9,,,0,0|8,,,0,0|7,,,0,0|1,,,0,0|1,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|7,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
0,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|7,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|1,,,0,0|0,,,0,0
